species	assembly	provider	provider_subfolder	genome_version	display_name
canis_lupus_familiarisgsd	UU_Cfam_GSD_1.0	ensembl		ensembl109	Dog - German Shepherd
capra_hircus	ARS1	ensembl		ensembl109	Goat
capra_hircus_blackbengal	CVASU_BBG_1.0	ensembl		ensembl109	Goat (black bengal)
carassius_auratus	ASM336829v1	ensembl		ensembl109	Goldfish
carlito_syrichta	Tarsius_syrichta-2.0.1	ensembl		ensembl109	Tarsier
castor_canadensis	C.can_genome_v1.0	ensembl		ensembl109	American beaver
catagonus_wagneri	CatWag_v2_BIUU_UCD	ensembl		ensembl109	Chacoan peccary
catharus_ustulatus	bCatUst1.pri	ensembl		ensembl109	Swainson's thrush
cavia_aperea	CavAp1.0	ensembl		ensembl109	Brazilian guinea pig
cavia_porcellus	Cavpor3.0	ensembl		ensembl109	Guinea Pig
cebus_imitator	Cebus_imitator-1.0	ensembl		ensembl109	Panamanian white-faced capuchin
cercocebus_atys	Caty_1.0	ensembl		ensembl109	Sooty mangabey
cervus_hanglu_yarkandensis	CEY_v1	ensembl		ensembl109	Yarkand deer
chelonoidis_abingdonii	ASM359739v1	ensembl		ensembl109	Abingdon island giant tortoise
chelydra_serpentina	Chelydra_serpentina-1.0	ensembl		ensembl109	Common snapping turtle
chinchilla_lanigera	ChiLan1.0	ensembl		ensembl109	Long-tailed chinchilla
chlorocebus_sabaeus	ChlSab1.1	ensembl		ensembl109	Vervet-AGM
choloepus_hoffmanni	choHof1	ensembl		ensembl109	Sloth
chrysemys_picta_bellii	Chrysemys_picta_bellii-3.0.3	ensembl		ensembl109	Painted turtle
chrysolophus_pictus	Chrysolophus_pictus_GenomeV1.0	ensembl		ensembl109	Golden pheasant
ciona_intestinalis	KH	ensembl		ensembl109	C.intestinalis
ciona_savignyi	CSAV2.0	ensembl		ensembl109	C.savignyi
clupea_harengus	Ch_v2.0.2	ensembl		ensembl109	Atlantic herring
colobus_angolensis_palliatus	Cang.pa_1.0	ensembl		ensembl109	Angola colobus
corvus_moneduloides	bCorMon1.pri	ensembl		ensembl109	New Caledonian crow
cottoperca_gobio	fCotGob3.1	ensembl		ensembl109	Channel bull blenny
coturnix_japonica	Coturnix_japonica_2.0	ensembl		ensembl109	Japanese quail
cricetulus_griseus_chok1gshd	CHOK1GS_HDv1	ensembl		ensembl109	Chinese hamster CHOK1GS
cricetulus_griseus_crigri	CriGri_1.0	ensembl		ensembl109	Chinese hamster CriGri
cricetulus_griseus_picr	CriGri-PICR	ensembl		ensembl109	Chinese hamster PICR
crocodylus_porosus	CroPor_comp1	ensembl		ensembl109	Australian saltwater crocodile
cyanistes_caeruleus	cyaCae2	ensembl		ensembl109	Blue tit
cyclopterus_lumpus	fCycLum1.pri	ensembl		ensembl109	Lumpfish
cynoglossus_semilaevis	Cse_v1.0	ensembl		ensembl109	Tongue sole
cyprinodon_variegatus	C_variegatus-1.0	ensembl		ensembl109	Sheepshead minnow
cyprinus_carpio_carpio	Cypcar_WagV4.0	ensembl		ensembl109	Common carp
cyprinus_carpio_germanmirror	German_Mirror_carp_1.0	ensembl		ensembl109	Common carp german mirror
cyprinus_carpio_hebaored	Hebao_red_carp_1.0	ensembl		ensembl109	Common carp hebao red
cyprinus_carpio_huanghe	Hunaghe_carp_2.0	ensembl		ensembl109	Common carp huanghe
danio_rerio	GRCz11	ensembl		ensembl109	Zebrafish
dasypus_novemcinctus	Dasnov3.0	ensembl		ensembl109	Armadillo
delphinapterus_leucas	ASM228892v3	ensembl		ensembl109	Beluga whale
denticeps_clupeoides	fDenClu1.1	ensembl		ensembl109	Denticle herring
dicentrarchus_labrax	dlabrax2021	ensembl		ensembl109	European seabass
dipodomys_ordii	Dord_2.0	ensembl		ensembl109	Kangaroo rat
dromaius_novaehollandiae	droNov1	ensembl		ensembl109	Emu
drosophila_melanogaster	BDGP6.32	ensembl		ensembl109	Drosophila melanogaster
echeneis_naucrates	fEcheNa1.1	ensembl		ensembl109	Live sharksucker
echinops_telfairi	TENREC	ensembl		ensembl109	Lesser hedgehog tenrec
electrophorus_electricus	Ee_SOAP_WITH_SSPACE	ensembl		ensembl109	Electric eel
eptatretus_burgeri	Eburgeri_3.2	ensembl		ensembl109	Hagfish
equus_asinus	ASM1607732v2	ensembl		ensembl109	Donkey
equus_asinus_asinus	ASM303372v1	ensembl		ensembl109	
equus_caballus	EquCab3.0	ensembl		ensembl109	Horse
erinaceus_europaeus	HEDGEHOG	ensembl		ensembl109	Hedgehog
erpetoichthys_calabaricus	fErpCal1.1	ensembl		ensembl109	Reedfish
erythrura_gouldiae	GouldianFinch	ensembl		ensembl109	Gouldian finch
esox_lucius	Eluc_v4	ensembl		ensembl109	Northern pike
falco_tinnunculus	FalTin1.0	ensembl		ensembl109	Common kestrel
felis_catus	Felis_catus_9.0	ensembl		ensembl109	Cat
ficedula_albicollis	FicAlb1.5	ensembl		ensembl109	Collared flycatcher
fukomys_damarensis	DMR_v1.0	ensembl		ensembl109	Damara mole rat
fundulus_heteroclitus	Fundulus_heteroclitus-3.0.2	ensembl		ensembl109	Mummichog
gadus_morhua	gadMor3.0	ensembl		ensembl109	Atlantic cod
gallus_gallus	bGalGal1.mat.broiler.GRCg7b	ensembl		ensembl109	Chicken
gallus_gallus_gca000002315v5	GRCg6a	ensembl		ensembl109	Chicken (Red Jungle fowl)
gallus_gallus_gca016700215v2	bGalGal1.pat.whiteleghornlayer.GRCg7w	ensembl		ensembl109	Chicken (paternal White leghorn layer)
gambusia_affinis	ASM309773v1	ensembl		ensembl109	Western mosquitofish
gasterosteus_aculeatus	BROADS1	ensembl		ensembl109	Stickleback
geospiza_fortis	GeoFor_1.0	ensembl		ensembl109	Medium ground-finch
gopherus_agassizii	ASM289641v1	ensembl		ensembl109	Agassiz's desert tortoise
gopherus_evgoodei	rGopEvg1_v1.p	ensembl		ensembl109	Goodes thornscrub tortoise
gorilla_gorilla	gorGor4	ensembl		ensembl109	Gorilla
gouania_willdenowi	fGouWil2.1	ensembl		ensembl109	Blunt-snouted clingfish
haplochromis_burtoni	AstBur1.0	ensembl		ensembl109	Burton's mouthbrooder
heterocephalus_glaber_female	HetGla_female_1.0	ensembl		ensembl109	Naked mole-rat female
heterocephalus_glaber_male	HetGla_1.0	ensembl		ensembl109	Naked mole-rat male
hippocampus_comes	H_comes_QL1_v1	ensembl		ensembl109	Tiger tail seahorse
homo_sapiens	GRCh38	ensembl		ensembl109	Human
hucho_hucho	ASM331708v1	ensembl		ensembl109	Huchen
ictalurus_punctatus	IpCoco_1.2	ensembl		ensembl109	Channel catfish
ictidomys_tridecemlineatus	SpeTri2.0	ensembl		ensembl109	Squirrel
jaculus_jaculus	JacJac1.0	ensembl		ensembl109	Lesser Egyptian jerboa
junco_hyemalis	ASM382977v1	ensembl		ensembl109	Dark-eyed junco
kryptolebias_marmoratus	ASM164957v1	ensembl		ensembl109	Mangrove rivulus
labrus_bergylta	BallGen_V1	ensembl		ensembl109	Ballan wrasse
larimichthys_crocea	L_crocea_2.0	ensembl		ensembl109	Large yellow croaker
lates_calcarifer	ASB_HGAPassembly_v1	ensembl		ensembl109	Barramundi perch
laticauda_laticaudata	latLat_1.0	ensembl		ensembl109	Blue-ringed sea krait
latimeria_chalumnae	LatCha1	ensembl		ensembl109	Coelacanth
lepidothrix_coronata	Lepidothrix_coronata-1.0	ensembl		ensembl109	Blue-crowned manakin
lepisosteus_oculatus	LepOcu1	ensembl		ensembl109	Spotted gar
leptobrachium_leishanense	ASM966780v1	ensembl		ensembl109	Leishan spiny toad
lonchura_striata_domestica	LonStrDom1	ensembl		ensembl109	Bengalese finch
loxodonta_africana	loxAfr3	ensembl		ensembl109	Elephant
lynx_canadensis	mLynCan4_v1.p	ensembl		ensembl109	Canada lynx
macaca_fascicularis	Macaca_fascicularis_6.0	ensembl		ensembl109	Crab-eating macaque
macaca_mulatta	Mmul_10	ensembl		ensembl109	Macaque
macaca_nemestrina	Mnem_1.0	ensembl		ensembl109	Pig-tailed macaque
malurus_cyaneus_samueli	mCya_1.0	ensembl		ensembl109	Superb fairywren
manacus_vitellinus	ASM171598v2	ensembl		ensembl109	Golden-collared manakin
mandrillus_leucophaeus	Mleu.le_1.0	ensembl		ensembl109	Drill
marmota_marmota_marmota	marMar2.1	ensembl		ensembl109	Alpine marmot
mastacembelus_armatus	fMasArm1.2	ensembl		ensembl109	Zig-zag eel
maylandia_zebra	M_zebra_UMD2a	ensembl		ensembl109	Zebra mbuna
meleagris_gallopavo	Turkey_5.1	ensembl		ensembl109	Turkey
melopsittacus_undulatus	bMelUnd1.mat.Z	ensembl		ensembl109	Budgerigar
meriones_unguiculatus	MunDraft-v1.0	ensembl		ensembl109	Mongolian gerbil
mesocricetus_auratus	MesAur1.0	ensembl		ensembl109	Golden Hamster
microcebus_murinus	Mmur_3.0	ensembl		ensembl109	Mouse Lemur
microtus_ochrogaster	MicOch1.0	ensembl		ensembl109	Prairie vole
mola_mola	ASM169857v1	ensembl		ensembl109	Ocean sunfish
monodelphis_domestica	ASM229v1	ensembl		ensembl109	Opossum
monodon_monoceros	NGI_Narwhal_1	ensembl		ensembl109	Narwhal
monopterus_albus	M_albus_1.0	ensembl		ensembl109	Swamp eel
moschus_moschiferus	MosMos_v2_BIUU_UCD	ensembl		ensembl109	Siberian musk deer
mus_caroli	CAROLI_EIJ_v1.1	ensembl		ensembl109	Ryukyu mouse
mus_musculus	GRCm39	ensembl		ensembl109	Mouse
mus_musculus_129s1svimj	129S1_SvImJ_v1	ensembl		ensembl109	Mouse 129S1/SvImJ
mus_musculus_aj	A_J_v1	ensembl		ensembl109	Mouse A/J
mus_musculus_akrj	AKR_J_v1	ensembl		ensembl109	Mouse AKR/J
mus_musculus_balbcj	BALB_cJ_v1	ensembl		ensembl109	Mouse BALB/cJ
mus_musculus_c3hhej	C3H_HeJ_v1	ensembl		ensembl109	Mouse C3H/HeJ
mus_musculus_c57bl6nj	C57BL_6NJ_v1	ensembl		ensembl109	Mouse C57BL/6NJ
mus_musculus_casteij	CAST_EiJ_v1	ensembl		ensembl109	Mouse CAST/EiJ
mus_musculus_cbaj	CBA_J_v1	ensembl		ensembl109	Mouse CBA/J
mus_musculus_dba2j	DBA_2J_v1	ensembl		ensembl109	Mouse DBA/2J
mus_musculus_fvbnj	FVB_NJ_v1	ensembl		ensembl109	Mouse FVB/NJ
mus_musculus_lpj	LP_J_v1	ensembl		ensembl109	Mouse LP/J
mus_musculus_nodshiltj	NOD_ShiLtJ_v1	ensembl		ensembl109	Mouse NOD/ShiLtJ
mus_musculus_nzohlltj	NZO_HlLtJ_v1	ensembl		ensembl109	Mouse NZO/HlLtJ
mus_musculus_pwkphj	PWK_PhJ_v1	ensembl		ensembl109	Mouse PWK/PhJ
mus_musculus_wsbeij	WSB_EiJ_v1	ensembl		ensembl109	Mouse WSB/EiJ
mus_pahari	PAHARI_EIJ_v1.1	ensembl		ensembl109	Shrew mouse
mus_spicilegus	MUSP714	ensembl		ensembl109	Steppe mouse
mus_spretus	SPRET_EiJ_v1	ensembl		ensembl109	Algerian mouse
mustela_putorius_furo	MusPutFur1.0	ensembl		ensembl109	Ferret
myotis_lucifugus	Myoluc2.0	ensembl		ensembl109	Microbat
myripristis_murdjan	fMyrMur1.1	ensembl		ensembl109	Pinecone soldierfish
naja_naja	Nana_v5	ensembl		ensembl109	Indian cobra
nannospalax_galili	S.galili_v1.0	ensembl		ensembl109	Upper Galilee mountains blind mole rat
neogobius_melanostomus	RGoby_Basel_V2	ensembl		ensembl109	Round goby
neolamprologus_brichardi	NeoBri1.0	ensembl		ensembl109	Lyretail cichlid
neovison_vison	NNQGG.v01	ensembl		ensembl109	American mink
nomascus_leucogenys	Nleu_3.0	ensembl		ensembl109	Gibbon
notamacropus_eugenii	Meug_1.0	ensembl		ensembl109	Wallaby
notechis_scutatus	TS10Xv2-PRI	ensembl		ensembl109	Mainland tiger snake
nothobranchius_furzeri	Nfu_20140520	ensembl		ensembl109	Turquoise killifish
nothoprocta_perdicaria	notPer1	ensembl		ensembl109	Chilean tinamou
numida_meleagris	NumMel1.0	ensembl		ensembl109	Helmeted guineafowl
ochotona_princeps	OchPri2.0-Ens	ensembl		ensembl109	Pika
octodon_degus	OctDeg1.0	ensembl		ensembl109	Degu
oncorhynchus_kisutch	Okis_V2	ensembl		ensembl109	Coho salmon
oncorhynchus_mykiss	USDA_OmykA_1.1	ensembl		ensembl109	Rainbow trout
oncorhynchus_tshawytscha	Otsh_v1.0	ensembl		ensembl109	Chinook salmon
oreochromis_aureus	ASM587006v1	ensembl		ensembl109	Blue tilapia
oreochromis_niloticus	O_niloticus_UMD_NMBU	ensembl		ensembl109	Nile tilapia
ornithorhynchus_anatinus	mOrnAna1.p.v1	ensembl		ensembl109	Platypus
oryctolagus_cuniculus	OryCun2.0	ensembl		ensembl109	Rabbit
oryzias_javanicus	OJAV_1.1	ensembl		ensembl109	Javanese ricefish
oryzias_latipes	ASM223467v1	ensembl		ensembl109	Japanese medaka HdrR
oryzias_latipes_hni	ASM223471v1	ensembl		ensembl109	Japanese medaka HNI
oryzias_latipes_hsok	ASM223469v1	ensembl		ensembl109	Japanese medaka HSOK
oryzias_melastigma	Om_v0.7.RACA	ensembl		ensembl109	Indian medaka
oryzias_sinensis	ASM858656v1	ensembl		ensembl109	Chinese medaka
otolemur_garnettii	OtoGar3	ensembl		ensembl109	Bushbaby
otus_sunia	OtuSun1.0	ensembl		ensembl109	Oriental scops-owl
ovis_aries	Oar_v3.1	ensembl		ensembl109	Sheep (texel)
ovis_aries_rambouillet	Oar_rambouillet_v1.0	ensembl		ensembl109	Sheep
pan_paniscus	panpan1.1	ensembl		ensembl109	Bonobo
pan_troglodytes	Pan_tro_3.0	ensembl		ensembl109	Chimpanzee
panthera_leo	PanLeo1.0	ensembl		ensembl109	Lion
panthera_pardus	PanPar1.0	ensembl		ensembl109	Leopard
panthera_tigris_altaica	PanTig1.0	ensembl		ensembl109	Tiger
papio_anubis	Panubis1.0	ensembl		ensembl109	Olive baboon
parambassis_ranga	fParRan2.1	ensembl		ensembl109	Indian glassy fish
paramormyrops_kingsleyae	PKINGS_0.1	ensembl		ensembl109	Paramormyrops kingsleyae
parus_major	Parus_major1.1	ensembl		ensembl109	Great Tit
pavo_cristatus	AIIM_Pcri_1.0	ensembl		ensembl109	Indian peafowl
pelodiscus_sinensis	PelSin_1.0	ensembl		ensembl109	Chinese softshell turtle
pelusios_castaneus	Pelusios_castaneus-1.0	ensembl		ensembl109	West African mud turtle
periophthalmus_magnuspinnatus	PM.fa	ensembl		ensembl109	Periophthalmus magnuspinnatus
peromyscus_maniculatus_bairdii	HU_Pman_2.1	ensembl		ensembl109	Northern American deer mouse
petromyzon_marinus	Pmarinus_7.0	ensembl		ensembl109	Lamprey
phascolarctos_cinereus	phaCin_unsw_v4.1	ensembl		ensembl109	Koala
phasianus_colchicus	ASM414374v1	ensembl		ensembl109	Ring-necked pheasant
phocoena_sinus	mPhoSin1.pri	ensembl		ensembl109	Vaquita
physeter_catodon	ASM283717v2	ensembl		ensembl109	Sperm whale
piliocolobus_tephrosceles	ASM277652v2	ensembl		ensembl109	Ugandan red Colobus
podarcis_muralis	PodMur_1.0	ensembl		ensembl109	Common wall lizard
poecilia_formosa	PoeFor_5.1.2	ensembl		ensembl109	Amazon molly
poecilia_latipinna	P_latipinna-1.0	ensembl		ensembl109	Sailfin molly
poecilia_mexicana	P_mexicana-1.0	ensembl		ensembl109	Shortfin molly
poecilia_reticulata	Guppy_female_1.0_MT	ensembl		ensembl109	Guppy
pogona_vitticeps	pvi1.1	ensembl		ensembl109	Central bearded dragon
pongo_abelii	Susie_PABv2	ensembl		ensembl109	Sumatran orangutan
procavia_capensis	proCap1	ensembl		ensembl109	Hyrax
prolemur_simus	Prosim_1.0	ensembl		ensembl109	Greater bamboo lemur
propithecus_coquereli	Pcoq_1.0	ensembl		ensembl109	Coquerel's sifaka
pseudonaja_textilis	EBS10Xv2-PRI	ensembl		ensembl109	Eastern brown snake
pteropus_vampyrus	pteVam1	ensembl		ensembl109	Megabat
pundamilia_nyererei	PunNye1.0	ensembl		ensembl109	Makobe Island cichlid
pygocentrus_nattereri	Pygocentrus_nattereri-1.0.2	ensembl		ensembl109	Red-bellied piranha
rattus_norvegicus	mRatBN7.2	ensembl		ensembl109	Rat
rhinolophus_ferrumequinum	mRhiFer1_v1.p	ensembl		ensembl109	Greater horseshoe bat
rhinopithecus_bieti	ASM169854v1	ensembl		ensembl109	Black snub-nosed monkey
rhinopithecus_roxellana	Rrox_v1	ensembl		ensembl109	Golden snub-nosed monkey
saccharomyces_cerevisiae	R64-1-1	ensembl		ensembl109	Saccharomyces cerevisiae
saimiri_boliviensis_boliviensis	SaiBol1.0	ensembl		ensembl109	Bolivian squirrel monkey
salarias_fasciatus	fSalaFa1.1	ensembl		ensembl109	Jewelled blenny
salmo_salar	Ssal_v3.1	ensembl		ensembl109	Atlantic salmon
salmo_trutta	fSalTru1.1	ensembl		ensembl109	Brown trout
salvator_merianae	HLtupMer3	ensembl		ensembl109	Argentine black and white tegu
sander_lucioperca	SLUC_FBN_1	ensembl		ensembl109	Pike-perch
sarcophilus_harrisii	mSarHar1.11	ensembl		ensembl109	Tasmanian devil
sciurus_vulgaris	mSciVul1.1	ensembl		ensembl109	Eurasian red squirrel
scleropages_formosus	fSclFor1.1	ensembl		ensembl109	Asian bonytongue
scophthalmus_maximus	ASM1334776v1	ensembl		ensembl109	Turbot
serinus_canaria	SCA1	ensembl		ensembl109	Common canary
seriola_dumerili	Sdu_1.0	ensembl		ensembl109	Greater amberjack
seriola_lalandi_dorsalis	Sedor1	ensembl		ensembl109	Yellowtail amberjack
sinocyclocheilus_anshuiensis	SAMN03320099.WGS_v1.1	ensembl		ensembl109	Blind barbel
sinocyclocheilus_grahami	SAMN03320097.WGS_v1.1	ensembl		ensembl109	Golden-line barbel
sinocyclocheilus_rhinocerous	SAMN03320098_v1.1	ensembl		ensembl109	Horned golden-line barbel
sorex_araneus	COMMON_SHREW1	ensembl		ensembl109	Shrew
sparus_aurata	fSpaAur1.1	ensembl		ensembl109	Gilthead seabream
spermophilus_dauricus	ASM240643v1	ensembl		ensembl109	Daurian ground squirrel
sphaeramia_orbicularis	fSphaOr1.1	ensembl		ensembl109	Orbiculate cardinalfish
sphenodon_punctatus	ASM311381v1	ensembl		ensembl109	Tuatara
stachyris_ruficeps	ASM869450v1	ensembl		ensembl109	Rufous-capped babbler
stegastes_partitus	Stegastes_partitus-1.0.2	ensembl		ensembl109	Bicolor damselfish
strigops_habroptila	bStrHab1_v1.p	ensembl		ensembl109	Kakapo
strix_occidentalis_caurina	Soccid_v01	ensembl		ensembl109	Northern spotted owl
struthio_camelus_australis	ASM69896v1	ensembl		ensembl109	African ostrich
suricata_suricatta	meerkat_22Aug2017_6uvM2_HiC	ensembl		ensembl109	Meerkat
sus_scrofa	Sscrofa11.1	ensembl		ensembl109	Pig
sus_scrofa_bamei	Bamei_pig_v1	ensembl		ensembl109	Pig - Bamei
sus_scrofa_berkshire	Berkshire_pig_v1	ensembl		ensembl109	Pig - Berkshire
sus_scrofa_hampshire	Hampshire_pig_v1	ensembl		ensembl109	Pig - Hampshire
sus_scrofa_jinhua	Jinhua_pig_v1	ensembl		ensembl109	Pig - Jinhua
sus_scrofa_landrace	Landrace_pig_v1	ensembl		ensembl109	Pig - Landrace
sus_scrofa_largewhite	Large_White_v1	ensembl		ensembl109	Pig - Largewhite
sus_scrofa_meishan	Meishan_pig_v1	ensembl		ensembl109	Pig - Meishan
sus_scrofa_pietrain	Pietrain_pig_v1	ensembl		ensembl109	Pig - Pietrain
sus_scrofa_rongchang	Rongchang_pig_v1	ensembl		ensembl109	Pig - Rongchang
sus_scrofa_tibetan	Tibetan_Pig_v2	ensembl		ensembl109	Pig - Tibetan
sus_scrofa_usmarc	USMARCv1.0	ensembl		ensembl109	Pig USMARC
sus_scrofa_wuzhishan	minipig_v1.0	ensembl		ensembl109	Pig - Wuzhishan
taeniopygia_guttata	bTaeGut1_v1.p	ensembl		ensembl109	Zebra finch
takifugu_rubripes	fTakRub1.2	ensembl		ensembl109	Fugu
terrapene_carolina_triunguis	T_m_triunguis-2.0	ensembl		ensembl109	Three-toed box turtle
tetraodon_nigroviridis	TETRAODON8	ensembl		ensembl109	Tetraodon
theropithecus_gelada	Tgel_1.0	ensembl		ensembl109	Gelada
tupaia_belangeri	TREESHREW	ensembl		ensembl109	Tree Shrew
tursiops_truncatus	turTru1	ensembl		ensembl109	Dolphin
urocitellus_parryii	ASM342692v1	ensembl		ensembl109	Arctic ground squirrel
ursus_americanus	ASM334442v1	ensembl		ensembl109	American black bear
ursus_maritimus	UrsMar_1.0	ensembl		ensembl109	Polar bear
ursus_thibetanus_thibetanus	ASM966005v1	ensembl		ensembl109	Asiatic black bear
varanus_komodoensis	ASM479886v1	ensembl		ensembl109	Komodo dragon
vicugna_pacos	vicPac1	ensembl		ensembl109	Alpaca
vombatus_ursinus	bare-nosed_wombat_genome_assembly	ensembl		ensembl109	Common wombat
vulpes_vulpes	VulVul2.2	ensembl		ensembl109	Red fox
xenopus_tropicalis	UCB_Xtro_10.0	ensembl		ensembl109	Tropical clawed frog
xiphophorus_couchianus	Xiphophorus_couchianus-4.0.1	ensembl		ensembl109	Monterrey platyfish
xiphophorus_maculatus	X_maculatus-5.0-male	ensembl		ensembl109	Platyfish
zalophus_californianus	mZalCal1.pri	ensembl		ensembl109	California sea lion
zonotrichia_albicollis	Zonotrichia_albicollis-1.0.1	ensembl		ensembl109	White-throated sparrow
zosterops_lateralis_melanops	ASM128173v1	ensembl		ensembl109	Silver-eye
actinidia_chinensis	Red5_PS1_1.69.0	ensemblgenomes	plants	ensemblgenomes56	Actinidia chinensis
aegilops_tauschii	Aet_v4.0	ensemblgenomes	plants	ensemblgenomes56	Aegilops tauschii
amborella_trichopoda	AMTR1.0	ensemblgenomes	plants	ensemblgenomes56	Amborella trichopoda
ananas_comosus	F153	ensemblgenomes	plants	ensemblgenomes56	Ananas comosus
arabidopsis_halleri	Ahal2.2	ensemblgenomes	plants	ensemblgenomes56	Arabidopsis halleri
arabidopsis_lyrata	v.1.0	ensemblgenomes	plants	ensemblgenomes56	Arabidopsis lyrata
arabidopsis_thaliana	TAIR10	ensemblgenomes	plants	ensemblgenomes56	Arabidopsis thaliana
arabis_alpina	A_alpina_V4	ensemblgenomes	plants	ensemblgenomes56	Arabis alpina
asparagus_officinalis	Aspof.V1	ensemblgenomes	plants	ensemblgenomes56	Asparagus officinalis
avena_sativa_ot3098	Oat_OT3098_v2	ensemblgenomes	plants	ensemblgenomes56	Avena sativa OT3098
avena_sativa_sang	Asativa_sang.v1.1	ensemblgenomes	plants	ensemblgenomes56	Avena sativa Sang
beta_vulgaris	RefBeet-1.2.2	ensemblgenomes	plants	ensemblgenomes56	Beta vulgaris
brachypodium_distachyon	Brachypodium_distachyon_v3.0	ensemblgenomes	plants	ensemblgenomes56	Brachypodium distachyon
brassica_juncea	ASM1870372v1	ensemblgenomes	plants	ensemblgenomes56	Brassica juncea
brassica_napus	AST_PRJEB5043_v1	ensemblgenomes	plants	ensemblgenomes56	Brassica napus
brassica_oleracea	BOL	ensemblgenomes	plants	ensemblgenomes56	Brassica oleracea
brassica_rapa	Brapa_1.0	ensemblgenomes	plants	ensemblgenomes56	Brassica rapa
brassica_rapa_ro18	SCU_BraROA_2.3	ensemblgenomes	plants	ensemblgenomes56	Brassica rapa R-o-18
cajanus_cajan	C.cajan_V1.0	ensemblgenomes	plants	ensemblgenomes56	Cajanus cajan (pigeon pea) - GCA_000340665.1
camelina_sativa	Cs	ensemblgenomes	plants	ensemblgenomes56	Camelina sativa
cannabis_sativa_female	cs10	ensemblgenomes	plants	ensemblgenomes56	Cannabis sativa female
capsicum_annuum	ASM51225v2	ensemblgenomes	plants	ensemblgenomes56	Capsicum annuum
